Name,First Places,Second Places,Third Places,PolesPositions,WorldChampionships,Country,Score,NormalizedScore
Herweh Manfred,6,0.0,6.0,3.0,0.0,DE,34.5,0.043206011271133375
Hartle John,5,21.0,8.0,0.0,0.0,GB,70.0,0.08766437069505323
Ukawa Tohru,5,17.0,17.0,3.0,0.0,JP,75.5,0.09455228553537884
Mcintyre Bob,5,14.0,6.0,0.0,0.0,GB,54.0,0.06762680025046963
Kneubühler Bruno,5,13.0,15.0,5.0,0.0,CH,68.5,0.08578584846587352
Cardús Carlos,5,12.0,9.0,7.0,0.0,ES,63.5,0.07952410770194114
Kavanagh Ken,5,11.0,8.0,0.0,0.0,AU,50.0,0.06261740763932373
Baldé Jean Francois,5,10.0,11.0,7.0,0.0,0,61.5,0.07701941139636818
Dalla Porta Lorenzo,5,9.0,2.0,1.0,1.0,0,47.5,0.059486537257357544
De Puniet Randy,5,8.0,11.0,9.0,0.0,0,60.5,0.07576706324358172
Bradl Helmut,5,8.0,8.0,12.0,0.0,DE,62.0,0.07764558547276143
Perugini Stefano,5,8.0,6.0,5.0,0.0,IT,49.5,0.061991233562930494
Folger Jonas,5,7.0,12.0,6.0,0.0,DE,55.0,0.06887914840325611
Oettl Peter,5,6.0,9.0,0.0,0.0,DE,41.0,0.05134627426424546
Auinger August,5,6.0,7.0,3.0,0.0,AT,43.5,0.054477144646211645
Di Meglio Mike,5,6.0,2.0,3.0,1.0,0,44.5,0.05572949279899812
Sandford Cecyl,5,5.0,11.0,0.0,2.0,GB,53.0,0.06637445209768315
Nieto Fonsi,5,5.0,8.0,12.0,0.0,ES,56.0,0.07013149655604257
Masia Jaume,5,5.0,3.0,4.0,0.0,ES,39.0,0.048841577958672514
Baldassarri Lorenzo,5,5.0,2.0,2.0,0.0,IT,35.0,0.043832185347526614
Corsi Simone,5,4.0,12.0,5.0,0.0,IT,47.5,0.059486537257357544
Tokudome Masaki,5,3.0,3.0,5.0,0.0,JP,36.5,0.045710707576706325
Hartog Wil,5,2.0,5.0,0.0,0.0,NL,29.0,0.036318096430807766
Chili Pierfrancesco,5,2.0,4.0,5.0,0.0,IT,35.5,0.044458359423919847
Frith Freddie,5,0.0,0.0,0.0,1.0,GB,26.0,0.03256105197244834
De Angelis Alex,4,19.0,17.0,11.0,0.0,0,87.5,0.10958046336881654
Alzamora Emilio,4,13.0,13.0,1.0,1.0,ES,62.5,0.07827175954915466
Rolfo Roberto,4,10.0,6.0,0.0,0.0,IT,42.0,0.052598622417031934
Jansson Borje,4,8.0,13.0,0.0,0.0,SE,45.0,0.056355666875391355
De Radigues Didier,4,8.0,3.0,12.0,0.0,0,53.0,0.06637445209768315
